column,field_group,definition,unit,formal_predictor,predictor_scope,used_for_grouping_or_lineage,used_for_fixed_alpha_calibration,used_for_evaluation_scope,boundary_note
weight_anchor_end_kg,body_weight,Analysis-panel field weight_anchor_end_kg.,kg,no,not a formal predictor,no,no,no,
is_big,body_weight,Analysis-panel field is_big.,dimensionless or categorical,no,not a formal predictor,no,no,no,
win_s,time_and_window,Analysis-panel field win_s.,s,yes,eligible in one or more locked confirmation branches,no,no,no,
HP_kcal,target,Mean 5-min HP quantity represented by the 30-min window; multiplied by 6 only for manuscript reporting in kcal per 30 min.,kcal per 5-min equivalent; multiply by 6 for reported kcal per 30 min,no,not a formal predictor,no,yes,yes,
小室温度(℃),environment,Respiration-chamber environmental condition aligned to the analysis window.,degree Celsius,yes,eligible in one or more locked confirmation branches,no,no,no,
小室湿度(%),environment,Respiration-chamber environmental condition aligned to the analysis window.,% relative humidity,yes,eligible in one or more locked confirmation branches,no,no,no,
hour_of_day,time_and_window,Analysis-panel field hour_of_day.,hour,yes,eligible in one or more locked confirmation branches,no,no,no,
sin_hour,time_and_window,Analysis-panel field sin_hour.,dimensionless cyclical encoding,yes,eligible in one or more locked confirmation branches,no,no,no,
cos_hour,time_and_window,Analysis-panel field cos_hour.,dimensionless cyclical encoding,yes,eligible in one or more locked confirmation branches,no,no,no,
move_coverage,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature move_coverage.,fraction or binary indicator,yes,eligible in one or more locked confirmation branches,no,no,no,
beat_count,ECG_HR_HRV,Thirty-minute ECG/heart-rate descriptor beat_count.,count,yes,eligible in one or more locked confirmation branches,no,no,no,
hr_valid_frac,ECG_HR_HRV,Thirty-minute ECG/heart-rate descriptor hr_valid_frac.,fraction or binary indicator,no,not a formal predictor,no,no,no,
HR_mean,ECG_HR_HRV,Thirty-minute ECG/heart-rate descriptor HR_mean.,beats per minute,yes,eligible in one or more locked confirmation branches,no,no,no,
HR_std,ECG_HR_HRV,Thirty-minute ECG/heart-rate descriptor HR_std.,beats per minute,yes,eligible in one or more locked confirmation branches,no,no,no,
RR_mean,ECG_HR_HRV,Thirty-minute ECG/heart-rate descriptor RR_mean.,ms,yes,eligible in one or more locked confirmation branches,no,no,no,
SDNN,ECG_HR_HRV,Thirty-minute ECG/heart-rate descriptor SDNN.,ms,yes,eligible in one or more locked confirmation branches,no,no,no,
RMSSD,ECG_HR_HRV,Thirty-minute ECG/heart-rate descriptor RMSSD.,ms,yes,eligible in one or more locked confirmation branches,no,no,no,
pNN50,ECG_HR_HRV,Thirty-minute ECG/heart-rate descriptor pNN50.,fraction or binary indicator,yes,eligible in one or more locked confirmation branches,no,no,no,
RR_cv,ECG_HR_HRV,Thirty-minute ECG/heart-rate descriptor RR_cv.,ms,yes,eligible in one or more locked confirmation branches,no,no,no,
RR_skew,ECG_HR_HRV,Thirty-minute ECG/heart-rate descriptor RR_skew.,ms,yes,eligible in one or more locked confirmation branches,no,no,no,
RR_kurt,ECG_HR_HRV,Thirty-minute ECG/heart-rate descriptor RR_kurt.,ms,yes,eligible in one or more locked confirmation branches,no,no,no,
RR_range,ECG_HR_HRV,Thirty-minute ECG/heart-rate descriptor RR_range.,ms,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Mean_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Mean_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Mean_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Mean_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Mean_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Mean_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Mean_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Mean_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Std_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Std_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Std_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Std_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Std_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Std_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Std_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Std_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Sum_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Sum_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Sum_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Sum_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Sum_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Sum_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Sum_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Sum_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Max_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Max_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Max_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Max_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Max_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Max_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Max_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Max_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Min_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Min_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Min_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Min_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Min_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Min_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Min_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Min_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Range_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Range_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Range_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Range_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Range_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Range_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_Range_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_Range_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_P25_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_P25_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_P25_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_P25_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_P25_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_P25_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_P25_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_P25_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_P75_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_P75_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_P75_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_P75_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_P75_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_P75_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Acc_P75_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Acc_P75_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Gyro_Mean_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Gyro_Mean_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Gyro_Mean_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Gyro_Mean_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Gyro_Mean_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Gyro_Mean_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Gyro_Mean_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Gyro_Mean_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Gyro_Max_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Gyro_Max_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Gyro_Max_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Gyro_Max_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Gyro_Max_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Gyro_Max_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Gyro_Max_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Gyro_Max_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynX_Mean_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynX_Mean_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynX_Mean_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynX_Mean_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynX_Mean_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynX_Mean_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynX_Mean_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynX_Mean_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynX_Std_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynX_Std_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynX_Std_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynX_Std_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynX_Std_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynX_Std_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynX_Std_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynX_Std_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynX_Mean_abs_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynX_Mean_abs_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynX_Mean_abs_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynX_Mean_abs_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynX_Mean_abs_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynX_Mean_abs_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynX_Mean_abs_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynX_Mean_abs_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynY_Mean_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynY_Mean_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynY_Mean_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynY_Mean_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynY_Mean_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynY_Mean_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynY_Mean_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynY_Mean_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynY_Std_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynY_Std_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynY_Std_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynY_Std_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynY_Std_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynY_Std_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynY_Std_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynY_Std_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynY_Mean_abs_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynY_Mean_abs_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynY_Mean_abs_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynY_Mean_abs_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynY_Mean_abs_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynY_Mean_abs_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynY_Mean_abs_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynY_Mean_abs_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynZ_Mean_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynZ_Mean_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynZ_Mean_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynZ_Mean_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynZ_Mean_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynZ_Mean_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynZ_Mean_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynZ_Mean_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynZ_Std_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynZ_Std_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynZ_Std_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynZ_Std_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynZ_Std_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynZ_Std_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynZ_Std_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynZ_Std_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynZ_Mean_abs_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynZ_Mean_abs_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynZ_Mean_abs_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynZ_Mean_abs_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynZ_Mean_abs_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynZ_Mean_abs_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
DynZ_Mean_abs_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature DynZ_Mean_abs_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AccMag_Mean_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AccMag_Mean_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AccMag_Mean_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AccMag_Mean_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AccMag_Mean_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AccMag_Mean_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AccMag_Mean_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AccMag_Mean_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AccMag_Std_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AccMag_Std_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AccMag_Std_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AccMag_Std_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AccMag_Std_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AccMag_Std_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AccMag_Std_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AccMag_Std_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Roll_Mean_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Roll_Mean_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Roll_Mean_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Roll_Mean_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Roll_Mean_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Roll_Mean_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Roll_Mean_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Roll_Mean_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Roll_Std_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Roll_Std_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Roll_Std_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Roll_Std_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Roll_Std_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Roll_Std_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Roll_Std_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Roll_Std_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Pitch_Mean_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Pitch_Mean_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Pitch_Mean_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Pitch_Mean_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Pitch_Mean_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Pitch_Mean_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Pitch_Mean_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Pitch_Mean_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Pitch_Std_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Pitch_Std_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Pitch_Std_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Pitch_Std_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Pitch_Std_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Pitch_Std_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Pitch_Std_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Pitch_Std_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Tilt_Mag_Mean_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Tilt_Mag_Mean_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Tilt_Mag_Mean_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Tilt_Mag_Mean_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Tilt_Mag_Mean_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Tilt_Mag_Mean_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Tilt_Mag_Mean_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Tilt_Mag_Mean_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Tilt_Mag_Std_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Tilt_Mag_Std_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Tilt_Mag_Std_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Tilt_Mag_Std_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Tilt_Mag_Std_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Tilt_Mag_Std_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
Tilt_Mag_Std_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature Tilt_Mag_Std_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngX_Std_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngX_Std_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngX_Std_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngX_Std_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngX_Std_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngX_Std_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngX_Std_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngX_Std_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngY_Std_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngY_Std_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngY_Std_std,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngY_Std_std.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngY_Std_p25,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngY_Std_p25.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngY_Std_p75,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngY_Std_p75.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
AngZ_Std_mean,IMU_motion,Thirty-minute summary or coverage descriptor for the IMU-derived feature AngZ_Std_mean.,sensor-feature dependent,yes,eligible in one or more locked confirmation branches,no,no,no,
